Rep,Treat,SPP,Clone,Row,Col,ID #,1997_Height,1997_Diam,1998_Height,1998_Diam,1999_Height,1999_Diam,2000_Height,2000_Diam,2001_Height,2001_Diam@3cm,2001_Diam@10cm,2002_Height,2002_Diam,2003_Height,2003_Diam@10cm,2003_DBH,2004_Height,2004_Diam@10cm,2004_DBH,2005_Height,2005_Diam@10cm,2005_DBH,2006_Height,2006_DBH,2007_Height,2007_DBH,2008_Height,2008_DBH,Notes,Comment1,Comment2,Comment3
1,1,B,B,P,12,4413,48,0.53,161,2.128,332,4.57,405,5.52,498,6.8,5.99,681,6.40,595,6.65,4.2,640,6.95,4.48,671,7.2,4.78,702,5,840,5.49,901,5.7,03: Measured twice; 04: Dia measured 2x; 08: caught in scaffolding,2004_Diam@10cm: VSQ: Changed from 5.2 to 6.95. Remeasure 1-10-5,,
1,1,A,216,P,11,4412,39,0.64,214,2.069,288,4.14,355,4.58,371,4.96,4.57,537,4.87,463,5.03,3.75,465,5.15,3.86,493,5.2,3.89,538,3.95,559,4.00,557,4.02,03: Measured twice; 04: Dia measured 2x  ,2004_Diam@10cm: VSQ: Changed from 4.8 to 5.15. Remeasure 1-10-5,,
1,1,B,B,P,10,4411,37,0.39,104,1.056,227,2.57,321,3.62,402,4.95,4.36,430,4.77,475,8.16,2.89,540,8.5,3.06,593,5.4,3.33,630,3.55,635,3.77,715,3.92,,,,
1,1,A,259,P,9,4410,16,0.46,132,1.555,192,2.73,215,3.13,294,3.47,3.2,336,3.31,382,3.47,2.1,390,3.5,2.13,391,3.5,2.14,,,,,,,02: Damage by scaffold; 06:dead,,,
1,1,B,B,P,8,4409,36,0.54,178,2.259,229,3.61,319,4.59,400,6.45,5.57,497,5.86,528,6.24,4.05,595,6.5,4.57,625,6.9,4.79,673,5.1,773,5.78,847,6.05,06:SA  07: Dia SA,,,
1,1,A,216,P,7,4408,14,0.25,116,1.247,168,2.56,194,2.86,254,3.06,2.93,298,3.02,353,3.25,1.68,345,3.2,1.72,366,3.3,1.71,354,1.7,354,1.68,,,04: Ht measured 2x,,,
1,1,B,B,Q,7,4421,54,0.46,98,1.618,172,2.78,270,3.45,361,5.15,4.1,405,4.55,486,4.78,2.95,550,5.1,3.22,609,5.3,3.43,648,3.6,660,3.85,630,3.95,02: Dead? 03: Tree growing; measured twice; 08: caught in scaffolding,,,
1,1,A,216,Q,8,4422,9.5,0.32,95,0.884,100,1.55,122,1.77,133,1.71,1.72,128,,,,,,,,,,,,,,,,,02: Dead,,,
1,1,B,B,Q,9,4423,14,0.22,26,0.432,,,,,,,,645,5.57,681,6.53,,,,,,,,,,,,,,99: Dead?; 00-01 No measurement; 02: Growing 06:missing  ,,,
1,1,A,216,Q,10,4424,69,0.81,216,2.771,268,5.28,355,5.76,434,6.32,5.68,470,6.18,523,6.65,4.9,590,6.9,5.13,559,6.9,5.29,593,5.45,602,5.59,583,5.62,,,,
1,1,B,B,Q,11,4425,47,0.6,159,1.58,329,3.5,446,4.11,461,5.15,4.54,558,5.35,636,5.51,3.79,665,5.9,4.22,671,6.1,4.49,739,4.8,814,5.19,880,5.47,02: Bent,,,
1,1,A,216,Q,12,4426,76,0.83,269,2.91,331,4.99,378,5.32,419,6,5.62,460,6.02,564,6.34,4.49,660,6.5,4.63,,6.6,4.77,633,4.9,639,5.08,719,5.15,06:v  ,,,
1,1,B,B,Q,13,4427,46.5,0.5,169,1.775,315,3.6,383,3.95,412,4.75,4.24,429,4.55,489,4.55,3.02,515,4.6,3.09,397,4.6,3.05,395,3.05,441,3.09,469,3.08,04: Top broken. Near scaf ladder  ,,,
1,1,A,216,Q,14,4428,45,0.49,169,1.933,278,3.37,334,3.85,441,4.38,4.18,609,4.52,586,4.74,3.85,840,5,4.19,647,5.1,4.26,731,4.5,741,4.69,849,4.81,03: Measured twice,,,
1,1,B,B,R,14,4441,57,0.48,143,1.558,270,3.16,337,3.64,401,4.7,4.28,482,4.65,517,5.16,3.76,830,5.4,4.1,672,5.6,4.36,646,4.55,750,4.85,823,5.01,06:v  ,,,
