"","Rep","Treat","Clone","E.Clone","Row","Col","ID","sap_init_height","sap_init_diam","sap_final_height","sap_final_diam","tree_final_height","tree_final_DBH","height_growth","diam_growth"
"1507","3","2","42E","","20","D","3221",28,0.31,57,0.57,1214,8.43,1213.43,7.86
"1508","3","2","8L","","19","D","3220",33,0.39,40,0.52,1224,6.3,1223.48,5.78
"1510","3","2","271","E271","17","D","3218",31,0.45,65,0.87,1178,11.18,1177.13,10.31
"1512","3","2","259","","15","D","3216",26,0.26,65,0.79,560,4.8,559.21,4.01
"1513","3","2","216","E216","15","E","3229",20,0.33,30,0.45,663,4.39,662.55,3.94
"1514","3","2","42E","","16","E","3230",21,0.21,53,0.62,1399,12.3,1398.38,11.68
"1515","3","2","42E","","17","E","3231",20,0.22,26,0.32,1209,8.05,1208.68,7.73
"1518","3","2","271","E271","20","E","3234",24,0.39,44,0.71,1174,8.45,1173.29,7.74
"1519","3","2","8L","","21","E","3235",45,0.47,50,0.56,899,7.08,898.44,6.52
"1520","3","2","42E","","22","E","3236",27,0.25,68,0.65,1157,8.1,1156.35,7.45
"1522","3","2","216","","23","F","3251",52,0.44,63,0.8,1213,6.61,1212.2,5.81
"1523","3","2","42E","","22","F","3250",24,0.25,71,0.74,880,6.67,879.26,5.93
"1525","3","2","271","E271","20","F","3248",32,0.49,60,0.72,951,5.19,950.28,4.47
"1527","3","2","216","E216","18","F","3246",37,0.37,36,0.58,916,5.55,915.42,4.97
"1528","3","2","42E","","17","F","3245",40,0.35,39,0.48,812,4.7,811.52,4.22
"1529","3","2","42E","","16","F","3244",24,0.32,62,0.61,1229,8.46,1228.39,7.85
"1530","3","2","216","E216","15","F","3243",26,0.32,62,0.63,603,5.08,602.37,4.45
"1531","3","2","271","","15","G","3257",47,0.38,87,0.92,1244,9.85,1243.08,8.93
"1533","3","2","271","E271","17","G","3259",37,0.45,84,1,1186,9.55,1185,8.55
"1535","3","2","42E","","19","G","3261",43,0.42,54,0.54,1181,7.75,1180.46,7.21
"1537","3","2","271","","21","G","3263",45,0.43,75,0.79,1016,6.71,1015.21,5.92
"1538","3","2","42E","","22","G","3264",26,0.28,63,0.67,1372,12.36,1371.33,11.69
"1542","3","2","42E","","22","H","3278",21,0.22,64,0.63,1315,10.7,1314.37,10.07
"1543","3","2","271","","21","H","3277",47,0.48,97,0.84,1174,7.8,1173.16,6.96
"1545","3","2","42E","","19","H","3275",27,0.31,52,0.62,1323,10.7,1322.38,10.08
"1546","3","2","271","","18","H","3274",30,0.3,77,0.76,1139,7.25,1138.24,6.49
"1547","3","2","271","E271","17","H","3273",34,0.44,74,0.81,1159,8.1,1158.19,7.29
"1548","3","2","259","","16","H","3272",27,0.48,27,0.54,653,4.1,652.46,3.56
"1549","3","2","271","","15","H","3271",41,0.32,90,0.81,1244,11.7,1243.19,10.89
"1550","3","2","42E","","15","I","3286",24,0.21,54,0.62,1256,12.25,1255.38,11.63
"1551","3","2","8L","","16","I","3287",41,0.44,42,0.62,932,7.31,931.38,6.69
"1552","3","2","271","","17","I","3288",21,0.22,65,0.6,1188,8.11,1187.4,7.51
"1553","3","2","271","","18","I","3289",48,0.42,94,0.89,1176,8.65,1175.11,7.76
"1555","3","2","271","","20","I","3291",29,0.37,64,0.7,1193,7.46,1192.3,6.76
"1556","3","2","271","","21","I","3292",30,0.41,48,0.79,775,5.14,774.21,4.35
"1558","3","2","271","","23","I","3294",33,0.32,79,0.73,1234,9.29,1233.27,8.56
"1559","3","2","216","","24","I","3295",39,0.36,55,0.81,1224,7.73,1223.19,6.92
"1560","3","2","271","E271","24","J","3310",26,0.34,51,0.74,667,3.9,666.26,3.16
"1561","3","2","271","","23","J","3309",19,0.2,54,0.6,1019,6.9,1018.4,6.3
"1562","3","2","8L","","22","J","3308",27,0.24,27,0.32,1299,9.21,1298.68,8.89
"1563","3","2","271","","21","J","3307",40,0.44,80,0.74,1218,8.75,1217.26,8.01
"1564","3","2","271","","20","J","3306",28,0.27,69,0.74,1160,7.5,1159.26,6.76
"1567","3","2","271","","17","J","3303",36,0.32,64,0.67,1227,9.25,1226.33,8.58
"1568","3","2","8L","","16","J","3302",26,0.26,23,0.37,697,7,696.63,6.63
"1571","3","2","216","","16","K","3317",24,0.3,37,0.58,767,5.78,766.42,5.2
"1572","3","2","8L","","17","K","3318",47,0.43,60,0.68,1297,12.62,1296.32,11.94
"1574","3","2","271","","19","K","3320",29,0.26,78,0.74,1285,8.96,1284.26,8.22
"1576","3","2","271","E271","21","K","3322",32,0.52,72,0.98,1290,9.18,1289.02,8.2
"1578","3","2","216","","23","K","3324",39,0.35,72,0.71,636,4.65,635.29,3.94
"1579","3","2","271","E271","24","K","3325",19,0.25,48,0.56,1122,6.22,1121.44,5.66
"1580","3","2","271","E271","24","L","3340",27,0.33,63,0.9,1157,6.65,1156.1,5.75
"1581","3","2","216","","23","L","3339",41,0.37,79,0.75,797,5.82,796.25,5.07
"1583","3","2","271","E271","21","L","3337",30,0.42,31,0.64,578,3.51,577.36,2.87
"1585","3","2","271","","19","L","3335",44,0.43,82,0.7,1317,11.06,1316.3,10.36
"1587","3","2","8L","","17","L","3333",56,0.59,57,0.78,679,5.45,678.22,4.67
